Year,State,Party,Votes
1976,Tennessee,republican,633969
2008,Tennessee,republican,1479178
1980,Tennessee,republican,787761
1984,Tennessee,republican,990212
2012,Tennessee,republican,1462330
2016,Tennessee,republican,1522925
1976,Texas,democrat,2082319
1980,Texas,democrat,1881147
1992,Texas,democrat,2281815
1996,Texas,democrat,2459683
2016,Texas,democrat,3877868
1988,Texas,democrat,2352748
2000,Texas,democrat,2433746
2004,Texas,democrat,2832704
1984,Texas,democrat,1949276
2008,Texas,democrat,3528633
2012,Texas,democrat,3308124
1988,Texas,republican,3036829
1992,Texas,republican,2496071
2000,Texas,republican,3799639
2004,Texas,republican,4526917
1996,Texas,republican,2736167
1976,Texas,republican,1953300
2008,Texas,republican,4479328
1980,Texas,republican,2510705
1984,Texas,republican,3433428
2012,Texas,republican,4569843
2016,Texas,republican,4685047
1976,Utah,democrat,182110
1980,Utah,democrat,124266
1992,Utah,democrat,183429
1996,Utah,democrat,221633
2016,Utah,democrat,310674
1988,Utah,democrat,207343
2000,Utah,democrat,203053
2004,Utah,democrat,241199
1984,Utah,democrat,155369
2008,Utah,democrat,327670
2012,Utah,democrat,251813
1988,Utah,republican,428442
1992,Utah,republican,322632
2000,Utah,republican,515096
2004,Utah,republican,663742
1996,Utah,republican,361911
1976,Utah,republican,337908
2008,Utah,republican,596030
1980,Utah,republican,439687
1984,Utah,republican,469105
2012,Utah,republican,740600
2016,Utah,republican,515211
1976,Vermont,democrat,77798
1980,Vermont,democrat,81952
1992,Vermont,democrat,133592
1996,Vermont,democrat,137894
2016,Vermont,democrat,178573
1988,Vermont,democrat,115775
2000,Vermont,democrat,149022
2004,Vermont,democrat,184067
1984,Vermont,democrat,95730
2008,Vermont,democrat,219262
2012,Vermont,democrat,199239
1988,Vermont,republican,124331
1992,Vermont,republican,88122
2000,Vermont,republican,119775
2004,Vermont,republican,121180
1996,Vermont,republican,80352
1976,Vermont,republican,100387
2008,Vermont,republican,98974
1980,Vermont,republican,94628
1984,Vermont,republican,135865
2012,Vermont,republican,92698
2016,Vermont,republican,95369
1976,Virginia,democrat,813896
1980,Virginia,democrat,752174
1992,Virginia,democrat,1038650
1996,Virginia,democrat,1091060
2016,Virginia,democrat,1981473
1988,Virginia,democrat,859799
2000,Virginia,democrat,1217290
2004,Virginia,democrat,1454742
1984,Virginia,democrat,796250
2008,Virginia,democrat,1959532
2012,Virginia,democrat,1971820
1988,Virginia,republican,1309162
1992,Virginia,republican,1150517
2000,Virginia,republican,1437490
2004,Virginia,republican,1716959
1996,Virginia,republican,1138350
1976,Virginia,republican,836554
2008,Virginia,republican,1725005
1980,Virginia,republican,989609
1984,Virginia,republican,1337078
2012,Virginia,republican,1822522
2016,Virginia,republican,1769443
1976,Washington,democrat,717323
1980,Washington,democrat,650193
1992,Washington,democrat,993037
1996,Washington,democrat,1123323
2016,Washington,democrat,1742718
1988,Washington,democrat,933516
2000,Washington,democrat,1247652
2004,Washington,democrat,1510201
1984,Washington,democrat,798352
2008,Washington,democrat,1750848
2012,Washington,democrat,1755396
1988,Washington,republican,903835
1992,Washington,republican,731234
2000,Washington,republican,1108864
2004,Washington,republican,1304894
1996,Washington,republican,840712
1976,Washington,republican,777732
2008,Washington,republican,1229216
2012,Washington,republican,1290670
1980,Washington,republican,865244
1984,Washington,republican,1051670
2016,Washington,republican,1221747
1976,West Virginia,democrat,435864
1980,West Virginia,democrat,367462
1992,West Virginia,democrat,331001
1996,West Virginia,democrat,327812
2016,West Virginia,democrat,188794
1988,West Virginia,democrat,341016
2000,West Virginia,democrat,295497
2004,West Virginia,democrat,326541
1984,West Virginia,democrat,328125
2008,West Virginia,democrat,303857
2012,West Virginia,democrat,238269
1988,West Virginia,republican,310065
1992,West Virginia,republican,241974
2000,West Virginia,republican,336475
2004,West Virginia,republican,423778
1996,West Virginia,republican,233946
1976,West Virginia,republican,314726
2008,West Virginia,republican,397466
1980,West Virginia,republican,334206
1984,West Virginia,republican,405483
2012,West Virginia,republican,417655
2016,West Virginia,republican,489371
1976,Wisconsin,democrat,1040232
1980,Wisconsin,democrat,981584
1992,Wisconsin,democrat,1041066
1996,Wisconsin,democrat,1071971
2016,Wisconsin,democrat,1382536
1988,Wisconsin,democrat,1126794
2000,Wisconsin,democrat,1242987
2004,Wisconsin,democrat,1489504
1984,Wisconsin,democrat,995740
2008,Wisconsin,democrat,1677211
2012,Wisconsin,democrat,1620985
1988,Wisconsin,republican,1047499
1992,Wisconsin,republican,930855
2000,Wisconsin,republican,1237279
2004,Wisconsin,republican,1478120
1996,Wisconsin,republican,845029
1976,Wisconsin,republican,1004987
2008,Wisconsin,republican,1262393
1980,Wisconsin,republican,1088845
1984,Wisconsin,republican,1198584
2012,Wisconsin,republican,1410966
2016,Wisconsin,republican,1405284
1976,Wyoming,democrat,62239
1980,Wyoming,democrat,49427
1992,Wyoming,democrat,68160
1996,Wyoming,democrat,77934
2016,Wyoming,democrat,55973
1988,Wyoming,democrat,67113
2000,Wyoming,democrat,60481
2004,Wyoming,democrat,70776
1984,Wyoming,democrat,53370
2008,Wyoming,democrat,82868
2012,Wyoming,democrat,69286
1988,Wyoming,republican,106867
1992,Wyoming,republican,79347
2000,Wyoming,republican,147947
2004,Wyoming,republican,167629
1996,Wyoming,republican,105388
1976,Wyoming,republican,92717
2008,Wyoming,republican,164958
1980,Wyoming,republican,110700
1984,Wyoming,republican,133241
2012,Wyoming,republican,170962
2016,Wyoming,republican,174419
